repetition,level,baseline_mae,baseline_rmse,baseline_spearman_rho,baseline_pearson_r,baseline_calibration_slope,baseline_calibration_intercept,extended_mae,extended_rmse,extended_spearman_rho,extended_pearson_r,extended_calibration_slope,extended_calibration_intercept,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
7,row,0.5027569900921479,0.6450093228807067,0.3126254086447097,0.2855912913094191,0.5772870431086257,0.4532410624162691,0.4966798414284275,0.6403412960696492,0.3909393465210707,0.33267345863444353,0.5786447938850736,0.4492201981111751,-0.006077148663720389,-0.004668026811057491,0.07831393787636098,0.047082167325024404,0.0013577507764479524,-0.0040208643050940185
7,participant,0.49253439727780707,0.636296031193125,0.3464351403159339,0.2957428597501893,0.6283392461708597,0.391016394480839,0.4893838997344636,0.6159963901328271,0.3993587101385586,0.3689762079010163,0.7243143481164205,0.28319085425569435,-0.0031504975433434557,-0.0202996410602978,0.052923569822624694,0.073233348150827,0.0959751019455608,-0.10782554022514468
8,row,0.5155719797430829,0.6746670497163615,0.24108677615411783,0.20529493388616055,0.39967882352754275,0.6507043602899905,0.5165110298652689,0.6880315556467097,0.2852565554959586,0.23853185855998738,0.379679861938269,0.671591119884937,0.0009390501221859804,0.013364505930348214,0.04416977934184074,0.03323692467382683,-0.019998961589273723,0.02088675959494657
8,participant,0.5125228180542315,0.6661438371490093,0.25790107219909236,0.208603743872334,0.42809624900076726,0.6133487523186232,0.5140463186908252,0.66237937222155,0.2819888238907903,0.256321395244933,0.4632929560529107,0.5747842872885172,0.0015235006365936776,-0.003764464927459299,0.024087751691697912,0.047717651372599035,0.03519670705214345,-0.03856446503010602
9,row,0.5049016952793783,0.6467446759009077,0.28557348766057356,0.26698397857851824,0.5750614483757828,0.4605286959367503,0.48628442416918016,0.6222011188276837,0.35005861875423433,0.3689224322457631,0.6759144399658237,0.34342173938644666,-0.018617271110198175,-0.024543557073223976,0.06448513109366077,0.10193845366724485,0.10085299159004091,-0.11710695655030362
9,participant,0.5015808332002193,0.6406207945512215,0.29044269828258806,0.2708131759419448,0.6104168320806357,0.41623671409142793,0.4858564092141724,0.6052771599557939,0.362850711480829,0.39598510772751117,0.7972973323539738,0.20527975101323354,-0.015724423986046898,-0.03534363459542755,0.07240801319824092,0.12517193178556635,0.18688050027333813,-0.2109569630781944
10,row,0.48472880577838934,0.6253312464582057,0.3414169350657326,0.33457829934942457,0.7227903730111693,0.30689224566161927,0.49940675066835827,0.6530862916164105,0.37753663742635296,0.3071133661011849,0.519315080937742,0.528321102347835,0.01467794488996893,0.027755045158204816,0.03611970236062034,-0.027464933248239676,-0.2034752920734273,0.22142885668621576
10,participant,0.4736958764502844,0.6171543694800748,0.35341248185163004,0.3471532735575491,0.7913806793820635,0.2272710827657234,0.49189217792582596,0.6272063717733888,0.4025433888477975,0.34101959977342144,0.6515959073834703,0.38023049678109705,0.018196301475541576,0.010052002293313933,0.049130906996167456,-0.006133673784127658,-0.13978477199859318,0.15295941401537366
11,row,0.49303277276450513,0.6398650340515499,0.313533947516606,0.29238136465544595,0.6247940276432347,0.39058236289019194,0.4906694638301539,0.6517057617164106,0.3767337426093283,0.3138645845027377,0.529535973586742,0.4918060928112946,-0.002363308934351216,0.011840727664860662,0.06319979509272228,0.021483219847291735,-0.09525805405649268,0.10122372992110268
11,participant,0.48373903839131954,0.632893062798754,0.33132239225936383,0.3003523639842792,0.6726849718997797,0.33129980153775695,0.473034475394481,0.6234114171142179,0.3659195836915501,0.3532274333443912,0.6841494971079924,0.3124797114272323,-0.01070456299683853,-0.009481645684536133,0.03459719143218626,0.05287506936011199,0.011464525208212728,-0.018820090110524657
12,row,0.5050916384499482,0.6522969395878098,0.27181158877929207,0.25689942302905955,0.5340740630331132,0.5031089106855867,0.5101107616435735,0.6734530876044392,0.3262816634711196,0.2576738585617521,0.4314023241968434,0.6137925838633879,0.005019123193625297,0.02115614801662946,0.05447007469182752,0.0007744355326925745,-0.10267173883626984,0.11068367317780115
12,participant,0.49871907968655194,0.6449938540622251,0.2868237452039075,0.26179437565532426,0.5732015628406156,0.45449595980766927,0.5042030597867405,0.647273184317601,0.32171045288238825,0.284284388370793,0.5436604935902619,0.4849887832932518,0.005483980100188579,0.0022793302553758554,0.03488670767848073,0.022490012715468743,-0.029541069250353713,0.03049282348558252
13,row,0.5222972101538262,0.6838050798189773,0.25191881324695864,0.17910152920762132,0.34737860507762675,0.7156523548590024,0.5169992930180777,0.6828108751536726,0.31659410363938845,0.24019514888032895,0.39443487044334397,0.6633805777078646,-0.005297917135748564,-0.0009942046653047543,0.06467529039242981,0.06109361967270763,0.04705626536571722,-0.05227177715113773
13,participant,0.5172730513406208,0.6761208498178317,0.24429380862325342,0.1795296614494548,0.3649733768032662,0.6903724004207702,0.5164544938938549,0.6601668536733217,0.3014732672664065,0.2581994587006676,0.47343101971542806,0.5726981707924926,-0.0008185574467659551,-0.015953996144509985,0.057179458643153075,0.07866979725121276,0.10845764291216187,-0.11767422962827756
14,row,0.5041297325642309,0.6417029983538277,0.3212318776482543,0.3006043365014185,0.5927924271946008,0.43565472375422454,0.49377024759563015,0.6357878511198969,0.375698430871586,0.3574001638627712,0.5908037792523069,0.4296000233615212,-0.01035948496860073,-0.005915147233930829,0.054466553223331715,0.05679582736135269,-0.0019886479422939196,-0.006054700392703338
14,participant,0.4979720527849057,0.6346177451652224,0.3374890883054355,0.30619829357847805,0.6314956289118758,0.3875855120143255,0.48978413781542246,0.6126099186251459,0.3888203187734408,0.3889675794142988,0.715002271161801,0.28650944693293173,-0.008187914969483234,-0.02200782654007649,0.05133123046800531,0.08276928583582077,0.08350664224992521,-0.10107606508139377
15,row,0.46828118461273815,0.6033986401350983,0.38209693912831283,0.4019956941248601,0.8655284827459581,0.14561945058101344,0.4749918297544095,0.6276518095570908,0.42186488285050117,0.3756463077649434,0.6211775584072812,0.4114024514785992,0.006710645141671356,0.024253169421992515,0.03976794372218834,-0.026349386359916682,-0.2443509243386769,0.2657830008975858
15,participant,0.45958123887343466,0.5963068772126534,0.4077257296564681,0.41461364269170237,0.938301338045666,0.06185059941245722,0.469547950409439,0.5993502893364426,0.4186115405171392,0.41865775356911716,0.7885202704131594,0.2248890184421608,0.009966711536004313,0.003043412123789224,0.010885810860671141,0.004044110877414797,-0.14978106763250654,0.1630384190297036
16,row,0.4919931401973773,0.6353838782017033,0.3157278223894408,0.3131119711042145,0.6371343978339467,0.3887914735608941,0.48965578139844246,0.6372362615509214,0.3551823554155098,0.35668477026643086,0.5821039856314986,0.442126237450948,-0.002337358798934819,0.0018523833492181119,0.039454533026068994,0.04357279916221635,-0.05503041220244809,0.05333476389005387
16,participant,0.4880054134427029,0.6294909672865051,0.32805085867623657,0.3155584041234382,0.6757387972626184,0.3418900104436925,0.4858282024070123,0.6143067307604135,0.36172159812028065,0.38556412683715646,0.7012255911996671,0.30587329483210035,-0.002177211035690574,-0.015184236526091577,0.033670739444044084,0.07000572271371824,0.02548679393704867,-0.03601671561159214
17,row,0.49378706399825384,0.6244395046894488,0.3413042480738695,0.3355673124038269,0.7385995586557871,0.27281064903681657,0.49976329587660046,0.6654014465222367,0.3607779688552121,0.3002928147084755,0.47209184552032074,0.5615124175676758,0.005976231878346616,0.040961941832787896,0.019473720781342574,-0.0352744976953514,-0.26650771313546634,0.2887017685308592
17,participant,0.4857553611921263,0.6175839594826946,0.3595791778977017,0.34543883135640785,0.7999092204620971,0.1999101830107479,0.4928271607948527,0.631512124814926,0.36658547105802736,0.337493701006345,0.6234075085763998,0.38869838201124973,0.007071799602726414,0.013928165332231401,0.007006293160325638,-0.007945130350062835,-0.1765017118856973,0.18878819900050184
18,row,0.527319080462248,0.6649093126725111,0.27717830676677235,0.261683678655784,0.4658302701574785,0.5704892824142865,0.542525962126728,0.7041523397229513,0.31128020767934395,0.2694899125933186,0.36723561398191956,0.6730148492401233,0.015206881664480032,0.03924302705044025,0.03410190091257159,0.007806233937534601,-0.09859465617555896,0.1025255668258368
18,participant,0.5199867735154876,0.6564172692983268,0.2922956022588725,0.26811605009181355,0.4956098623949353,0.5310393939291329,0.5285312522250197,0.6621366878258855,0.3086532701745087,0.30548516846791685,0.47912783355000954,0.540583941571758,0.008544478709532122,0.005719418527558751,0.016357667915636198,0.037369118376103294,-0.016482028844925778,0.009544547642625134
19,row,0.4990313829097884,0.639432352092391,0.32114736240435693,0.3045634997875227,0.6096373592955795,0.43480177359789,0.5031644894699681,0.6610614783791229,0.3668806737582982,0.3001338186853747,0.48644175506431186,0.5669511035108372,0.004133106560179678,0.02162912628673186,0.045733311353941264,-0.004429681102147975,-0.12319560423126763,0.1321493299129472
